id,name_full,name_kana,name_short,is_disabled,order,order_jr,created_at,deleted_at
1,北海道旅客鉄道,ﾎｯｶｲﾄﾞｳﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ北海道,0,4,1,2012/6/7 17:45,2012/6/7 17:45
2,東日本旅客鉄道,ﾋｶﾞｼﾆﾎﾝﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ東日本,0,1,2,2012/6/7 17:45,2012/6/7 17:45
3,東海旅客鉄道,ﾄｳｶｲﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ東海,0,5,3,2012/6/7 17:45,2012/6/7 17:45
4,西日本旅客鉄道,ﾆｼﾆﾎﾝﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ西日本,0,2,4,2012/6/7 17:45,2012/6/7 17:45
5,四国旅客鉄道,ｼｺｸﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ四国,0,8,5,2012/6/7 17:45,2012/6/7 17:45
6,九州旅客鉄道,ｷｭｳｼｭｳﾘｮｶｸﾃﾂﾄﾞｳ,ＪＲ九州,0,3,6,2012/6/7 17:45,2012/6/7 17:45
7,ＩＧＲいわて銀河鉄道,ｱｲｼﾞｰｱｰﾙｲﾜﾃｷﾞﾝｶﾞﾃﾂﾄﾞｳ,ＩＧＲいわて銀河鉄道,0,87,9999,2012/6/7 17:45,2012/6/7 17:45
8,スカイレールサービス,ｽｶｲﾚｰﾙｻｰﾋﾞｽ,スカイレール,0,162,9999,2012/6/7 17:45,2012/6/7 17:45
9,ひたちなか海浜鉄道,ﾋﾀﾁﾅｶｶｲﾋﾝﾃﾂﾄﾞｳ,ひたちなか海浜鉄道,0,132,9999,2012/6/7 17:45,2012/6/7 17:45
10,ゆりかもめ,ﾕﾘｶﾓﾒ,ゆりかもめ,0,99,9999,2012/6/7 17:45,2012/6/7 17:45
11,わたらせ渓谷鐵道,ﾜﾀﾗｾｹｲｺｸﾃﾂﾄﾞｳ,わたらせ渓谷鉄道,0,95,9999,2012/6/7 17:45,2012/6/7 17:45
12,一畑電車,ｲﾁﾊﾞﾀﾃﾞﾝｼｬ,一畑電車,0,63,9999,2012/6/7 17:45,2012/6/7 17:45
13,熊本電気鉄道,ｸﾏﾓﾄﾃﾞﾝｷﾃﾂﾄﾞｳ,熊本電気鉄道,0,85,9999,2012/6/7 17:45,2012/6/7 17:45
14,小湊鐵道,ｺﾐﾅﾄﾃﾂﾄﾞｳ,小湊鉄道,0,86,9999,2012/6/7 17:45,2012/6/7 17:45
15,上田電鉄,ｳｴﾀﾞﾃﾞﾝﾃﾂ,上田電鉄,0,102,9999,2012/6/7 17:45,2012/6/7 17:45
16,真岡鐵道,ﾓｵｶﾃﾂﾄﾞｳ,真岡鉄道,0,93,9999,2012/6/7 17:45,2012/6/7 17:45
17,神戸高速,ｺｳﾍﾞｺｳｿｸ,六甲ライナー,0,133,9999,2012/6/7 17:45,2012/6/7 17:45
18,仙台空港鉄道,ｾﾝﾀﾞｲｸｳｺｳﾃﾂﾄﾞｳ,仙台空港アクセス線,0,154,9999,2012/6/7 17:45,2012/6/7 17:45
19,大井川鐵道,ｵｵｲｶﾞﾜﾃﾂﾄﾞｳ,大井川鉄道,0,48,9999,2012/6/7 17:45,2012/6/7 17:45
20,津軽鉄道,ﾂｶﾞﾙﾃﾂﾄﾞｳ,津軽鉄道,0,120,9999,2012/6/7 17:45,2012/6/7 17:45
21,とさでん交通,ﾄｻﾃﾞﾝｺｳﾂｳ,とさでん交通,0,21,9999,2012/6/7 17:45,2014/10/7 17:12
22,函館市企業局交通部,ﾊｺﾀﾞﾃｼｷｷﾞｮｳｷｮｸｺｳﾂｳﾌﾞ,函館市電,0,62,9999,2012/6/7 17:45,2012/6/7 17:45
23,比叡山鉄道,ﾋｴｲｻﾞﾝﾃﾂﾄﾞｳ,比叡山鉄道,0,158,9999,2012/6/7 17:45,2012/6/7 17:45
24,富山ライトレール,ﾄﾔﾏﾗｲﾄﾚｰﾙ,富山ライトレール,0,118,9999,2012/6/7 17:45,2012/6/7 17:45
25,舞浜リゾートライン,ﾏｲﾊﾏﾘｿﾞｰﾄﾗｲﾝ,舞浜リゾートライン,0,159,9999,2012/6/7 17:45,2012/6/7 17:45
