id,route_cd,railway_company_m_id,route_name_1,route_name_1_bracket,route_name_1_kana_bracket,route_name_1_kana,route_name_2,route_name_2_bracket,route_name_2_kana_bracket,route_name_2_kana,is_disabled,order,created_at,deleted_at
1,J001001,1,函館本線,函館本線(函館－旭川),ﾊｺﾀﾞﾃﾎﾝｾﾝ(ﾊｺﾀﾞﾃ-ｱｻﾋｶﾜ),ﾊｺﾀﾞﾃﾎﾝｾﾝ,ＪＲ函館本線,ＪＲ函館本線(函館－旭川),ｼﾞｪｲｱｰﾙﾊｺﾀﾞﾃﾎﾝｾﾝ(ﾊｺﾀﾞﾃ-ｱｻﾋｶﾜ),ｼﾞｪｲｱｰﾙﾊｺﾀﾞﾃﾎﾝｾﾝ,0,8,2012/6/7 17:46,2017/7/6 9:36
2,J001002,1,函館本線,函館本線(大沼－森),ﾊｺﾀﾞﾃﾎﾝｾﾝ(ｵｵﾇﾏ-ﾓﾘ),ﾊｺﾀﾞﾃﾎﾝｾﾝ,ＪＲ函館本線,ＪＲ函館本線(大沼－森),ｼﾞｪｲｱｰﾙﾊｺﾀﾞﾃﾎﾝｾﾝ(ｵｵﾇﾏ-ﾓﾘ),ｼﾞｪｲｱｰﾙﾊｺﾀﾞﾃﾎﾝｾﾝ,0,346,2012/6/7 17:46,2017/7/6 9:36
3,J001003,1,海峡線,海峡線,ｶｲｷｮｳｾﾝ,ｶｲｷｮｳｾﾝ,ＪＲ海峡線,ＪＲ海峡線,ｼﾞｪｲｱｰﾙｶｲｷｮｳｾﾝ,ｼﾞｪｲｱｰﾙｶｲｷｮｳｾﾝ,0,556,2012/6/7 17:46,2017/7/6 9:36
4,J001004,1,江差線,江差線,ｴｻｼｾﾝ,ｴｻｼｾﾝ,ＪＲ江差線,ＪＲ江差線,ｼﾞｪｲｱｰﾙｴｻｼｾﾝ,ｼﾞｪｲｱｰﾙｴｻｼｾﾝ,0,327,2012/6/7 17:46,2017/7/6 9:36
5,J001005,1,札沼線,札沼線,ｻｯｼｮｳｾﾝ,ｻｯｼｮｳｾﾝ,ＪＲ札沼線,ＪＲ札沼線,ｼﾞｪｲｱｰﾙｻｯｼｮｳｾﾝ,ｼﾞｪｲｱｰﾙｻｯｼｮｳｾﾝ,0,83,2012/6/7 17:46,2017/7/6 9:36
6,J001006,1,千歳線,千歳線(苫小牧－札幌),ﾁﾄｾｾﾝ(ﾄﾏｺﾏｲ-ｻｯﾎﾟﾛ),ﾁﾄｾｾﾝ,ＪＲ千歳線,ＪＲ千歳線(苫小牧－札幌),ｼﾞｪｲｱｰﾙﾁﾄｾｾﾝ(ﾄﾏｺﾏｲ-ｻｯﾎﾟﾛ),ｼﾞｪｲｱｰﾙﾁﾄｾｾﾝ,0,207,2012/6/7 17:46,2017/7/6 9:36
7,J001007,1,千歳線,千歳線(南千歳－新千歳空港),ﾁﾄｾｾﾝ(ﾐﾅﾐﾁﾄｾ-ｼﾝﾁﾄｾｸｳｺｳ),ﾁﾄｾｾﾝ,ＪＲ千歳線,ＪＲ千歳線(南千歳－新千歳空港),ｼﾞｪｲｱｰﾙﾁﾄｾｾﾝ(ﾐﾅﾐﾁﾄｾ-ｼﾝﾁﾄｾｸｳｺｳ),ｼﾞｪｲｱｰﾙﾁﾄｾｾﾝ,0,591,2012/6/7 17:46,2017/7/6 9:36
8,J001008,1,石勝線,石勝線(南千歳－新得),ｾｷｼｮｳｾﾝ(ﾐﾅﾐﾁﾄｾ-ｼﾝﾄｸ),ｾｷｼｮｳｾﾝ,ＪＲ石勝線,ＪＲ石勝線(南千歳－新得),ｼﾞｪｲｱｰﾙｾｷｼｮｳｾﾝ(ﾐﾅﾐﾁﾄｾ-ｼﾝﾄｸ),ｼﾞｪｲｱｰﾙｾｷｼｮｳｾﾝ,0,430,2012/6/7 17:46,2017/7/6 9:36
9,J001009,1,石勝線,石勝線(新夕張－夕張),ｾｷｼｮｳｾﾝ(ｼﾝﾕｳﾊﾞﾘ-ﾕｳﾊﾞﾘ),ｾｷｼｮｳｾﾝ,ＪＲ石勝線,ＪＲ石勝線(新夕張－夕張),ｼﾞｪｲｱｰﾙｾｷｼｮｳｾﾝ(ｼﾝﾕｳﾊﾞﾘ-ﾕｳﾊﾞﾘ),ｼﾞｪｲｱｰﾙｾｷｼｮｳｾﾝ,0,492,2012/6/7 17:46,2017/7/6 9:36
10,J001010,1,室蘭本線,室蘭本線(長万部－岩見沢),ﾑﾛﾗﾝﾎﾝｾﾝ(ｵｼｬﾏﾝﾍﾞ-ｲﾜﾐｻﾞﾜ),ﾑﾛﾗﾝﾎﾝｾﾝ,ＪＲ室蘭本線,ＪＲ室蘭本線(長万部－岩見沢),ｼﾞｪｲｱｰﾙﾑﾛﾗﾝﾎﾝｾﾝ(ｵｼｬﾏﾝﾍﾞ-ｲﾜﾐｻﾞﾜ),ｼﾞｪｲｱｰﾙﾑﾛﾗﾝﾎﾝｾﾝ,0,28,2012/6/7 17:46,2017/7/6 9:36
