id,station_cd,name,name_bracket,name_kana,location,pref_cd,distance_gynecology,distance_pediatrics,distance_kindergarten,distance_nursery_school,distance_outside,distance_pediatric_dentistry,distance_otolaryngology,distance_dermatology,distance_learning,distance_primary_school,distance_ocular,distance_restaurant,is_disabled,created_at,deleted_at
1,20441,函館,函館,ﾊｺﾀﾞﾃ,POINT(140.7264 41.77374),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
2,20204,五稜郭,五稜郭,ｺﾞﾘｮｳｶｸ,POINT(140.7339 41.80342),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
3,20149,桔梗,桔梗,ｷｷｮｳ,POINT(140.723 41.84673),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
4,20074,大中山,大中山,ｵｵﾅｶﾔﾏ,POINT(140.7134 41.86478),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
5,20382,七飯,七飯,ﾅﾅｴ,POINT(140.6882 41.88769),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
6,20090,新函館北斗,新函館北斗,ｼﾝﾊｺﾀﾞﾃﾎｸﾄ,POINT(140.6482 41.90472),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
7,20420,仁山,仁山,ﾆﾔﾏ,POINT(140.6351 41.93005),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
8,20075,大沼,大沼(北海道),ｵｵﾇﾏ,POINT(140.6694 41.97207),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
9,20076,大沼公園,大沼公園,ｵｵﾇﾏｺｳｴﾝ,POINT(140.6697 41.98104),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
10,20010,赤井川,赤井川,ｱｶｲｶﾞﾜ,POINT(140.6428 42.00329),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
11,20199,駒ケ岳,駒ケ岳,ｺﾏｶﾞﾀｹ,POINT(140.6106 42.03873),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
